
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
  0.10000E-05   -0.463044E-03 -0.463456E-03  0.545136E+08
  0.20000E-05   -0.463145E-03 -0.463557E-03  0.545359E+08
  0.40000E-05   -0.463344E-03 -0.463757E-03  0.545801E+08
  0.80000E-05   -0.463740E-03 -0.464154E-03  0.546682E+08
  0.16000E-04   -0.464527E-03 -0.464945E-03  0.548434E+08
  0.32000E-04   -0.466083E-03 -0.466506E-03  0.551902E+08
  0.64000E-04   -0.469122E-03 -0.469556E-03  0.558695E+08
  0.12800E-03   -0.474940E-03 -0.475396E-03  0.571738E+08
  0.25600E-03   -0.485724E-03 -0.486224E-03  0.595878E+08
  0.51200E-03   -0.504990E-03 -0.505569E-03  0.638914E+08
  0.10240E-02   -0.537375E-03 -0.538095E-03  0.706362E+08
  0.20480E-02   -0.588356E-03 -0.589317E-03  0.792267E+08
  0.40960E-02   -0.662601E-03 -0.663954E-03  0.860491E+08
  0.81920E-02   -0.762003E-03 -0.763943E-03  0.863623E+08
  0.16384E-01   -0.886527E-03 -0.889270E-03  0.796792E+08
  0.32768E-01   -0.103158E-02 -0.103532E-02  0.690826E+08
  0.65536E-01   -0.119318E-02 -0.119812E-02  0.583357E+08
  0.13107       -0.136938E-02 -0.137588E-02  0.499074E+08
  0.26214       -0.156754E-02 -0.157613E-02  0.436991E+08
  0.52429       -0.179824E-02 -0.180968E-02  0.388487E+08

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   1.0486       -0.207033E-02 -0.208568E-02  0.347108E+08
   2.0972       -0.239161E-02 -0.241231E-02  0.310088E+08
   4.1943       -0.276994E-02 -0.279795E-02  0.276663E+08
   8.3886       -0.321696E-02 -0.325490E-02  0.246984E+08
   16.777       -0.374973E-02 -0.380122E-02  0.221168E+08
   26.777       -0.418051E-02 -0.424437E-02  0.205105E+08
   36.777       -0.451036E-02 -0.458449E-02  0.194969E+08
   46.777       -0.478233E-02 -0.486541E-02  0.187825E+08
   56.777       -0.501703E-02 -0.510812E-02  0.182477E+08
   66.777       -0.522516E-02 -0.532358E-02  0.178297E+08
   76.777       -0.541325E-02 -0.551847E-02  0.174832E+08
   86.777       -0.558604E-02 -0.569762E-02  0.172039E+08
   96.777       -0.574655E-02 -0.586416E-02  0.169713E+08
   106.78       -0.589706E-02 -0.602041E-02  0.167735E+08
