
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
  0.10000E-05   -0.462982E-03 -0.463393E-03  0.544992E+08
  0.20000E-05   -0.463020E-03 -0.463432E-03  0.545071E+08
  0.40000E-05   -0.463095E-03 -0.463507E-03  0.545226E+08
  0.80000E-05   -0.463243E-03 -0.463655E-03  0.545535E+08
  0.16000E-04   -0.463539E-03 -0.463953E-03  0.546153E+08
  0.32000E-04   -0.464130E-03 -0.464545E-03  0.547383E+08
  0.64000E-04   -0.465304E-03 -0.465724E-03  0.549828E+08
  0.12800E-03   -0.467623E-03 -0.468051E-03  0.554653E+08
  0.25600E-03   -0.472153E-03 -0.472598E-03  0.564053E+08
  0.51200E-03   -0.480822E-03 -0.481300E-03  0.581897E+08
  0.10240E-02   -0.496857E-03 -0.497397E-03  0.614116E+08
  0.20480E-02   -0.525295E-03 -0.525953E-03  0.669251E+08
  0.40960E-02   -0.572518E-03 -0.573387E-03  0.745991E+08
  0.81920E-02   -0.645029E-03 -0.646258E-03  0.820448E+08
  0.16384E-01   -0.746773E-03 -0.748575E-03  0.843003E+08
  0.32768E-01   -0.878620E-03 -0.881247E-03  0.789187E+08
  0.65536E-01   -0.103632E-02 -0.104002E-02  0.682516E+08
  0.13107       -0.121560E-02 -0.122065E-02  0.568891E+08
  0.26214       -0.141562E-02 -0.142249E-02  0.481038E+08
  0.52429       -0.164585E-02 -0.165523E-02  0.417445E+08

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 UY          1 UY          3 S   EQV 
                  UY            UY            SEQV    
   1.0486       -0.191822E-02 -0.193114E-02  0.367753E+08
   2.0972       -0.224350E-02 -0.226137E-02  0.325273E+08
   4.1943       -0.263199E-02 -0.265681E-02  0.287477E+08
   8.3886       -0.309663E-02 -0.313115E-02  0.254062E+08
   16.777       -0.365688E-02 -0.370498E-02  0.225186E+08
   26.777       -0.411652E-02 -0.417724E-02  0.207550E+08
   36.777       -0.447044E-02 -0.454176E-02  0.196496E+08
   46.777       -0.476380E-02 -0.484445E-02  0.188751E+08
   56.777       -0.501762E-02 -0.510668E-02  0.182955E+08
   66.777       -0.524343E-02 -0.534022E-02  0.178432E+08
   76.777       -0.544826E-02 -0.555226E-02  0.174749E+08
   86.777       -0.563692E-02 -0.574770E-02  0.171760E+08
   96.777       -0.581260E-02 -0.592981E-02  0.169277E+08
   106.78       -0.597774E-02 -0.610109E-02  0.167183E+08
   116.78       -0.613410E-02 -0.626335E-02  0.165398E+08
